symbol,address,ens,name,votes_count,delegators_count
UNI,0x77aD346eB003Ec94a54E23CB88A53146E9697668,,,2499999900100000000000000,1
UNI,0x7a6B2ef4903B28f924E9447c537f15115455143B,,,2499999900100000000000000,1
UNI,0x9251b961E67a8E900Aa719582bA269bd6241e4b6,,,2499999900100000000000000,1
UNI,0xB933AEe47C438f22DE0747D57fc239FE37878Dd1,wintermutegovernance.eth,Wintermute Governance,2499898435150193819524587,135
UNI,0x70954F0248cb5cD35042Ce7866754FC1437695A5,,,2418743000100000000000000,1
UNI,0x554BC0707a32f1fC55251D5907EAF1a7aB7c255C,,,2400000000100000000000000,1
UNI,0xED0E1B96fD38fa7A6175512C4AEc050e7b688140,,,2400000000100000000000000,1
UNI,0x8d07D225a769b7Af3A923481E1FdF49180e6A265,monetsupply.eth,MonetSupply,2301703801449782283308532,93
UNI,0x5C04E7808455ee0e22c2773328C151d0DD79dC62,scopelift.eth,scopelift.eth,2270288536645699599840481,5
UNI,0xE93D59CC0bcECFD4ac204827eF67c5266079E2b5,axianetwork.eth,Axia Network,2251813590759889870399210,28
UNI,0xb55a948763e0d386b6dEfcD8070a522216AE42b1,reveriegov.eth,hi_Reverie,2045690082071827046288987,48
UNI,0x683a4F9915D6216f73d6Df50151725036bD26C02,gauntletgov.eth,Gauntlet,2004984193256259910529694,98
UNI,0xa51632ab150336D77Ed8b3D4B107dFaeDd223B23,,,1855532000100000000000000,1
UNI,0x00f58119e84Ca2bBbb64AF698CfCF1BA123d8aeb,,,1850000000100000000000000,1
UNI,0x9dA4289d23DdFA7f94dBabEFfDC0C91196c0f7b9,,,1850000000100000000000000,1
UNI,0xb3b53cb7f5b69119A83d7E111446C687D1F33599,,,1800000150100000000000000,1
UNI,0xA7259cD5390C0E2383B63059245C91A2B3fA19ca,,,1800000000100000000000000,1
UNI,0xe2aDAe58FCaf494C3d2926D9aB1D5AD8F21dB371,,,1800000000100000000000000,1
UNI,0x0b840549702B66FFC31F110b162DE4b91F9D5409,,,1800000000100000000000000,1
UNI,0x7AC04fa3fe028a68E0b0c089113147d5d81aDD34,,,1800000000100000000000000,1
UNI,0x3e3Ae5b15c789e9e1a21c1E84E1A4AC75b35E348,,,1800000000100000000000000,1
UNI,0x513d57Ae1c32c2ff75f8d4b0319bdFcFDD6fAA5B,,,1800000000100000000000000,1
UNI,0xd268046Fe47254e3da0FB3f0221CF4A5aFb2E37C,,,1521000000100000000000000,1
UNI,0x3B41cba749e08E08348C979c7914Bdc8E5B6d851,,,1427212830297261292558824,4
UNI,0xB44265ed5A96071644D590Ff0c85A4A24DC499d6,,,1213603145983970000000000,2
UNI,0xae7559CcD15208C622E8313BBf650F395FC051c2,,,1050000000100000000000000,1
UNI,0x50EC05ADe8280758E2077fcBC08D878D4aef79C3,hayden.eth,hayden.eth,1005004100100000000000000,3
UNI,0xA37131410A76791f4A0210e91EDD554d85aFb4d4,,,1000001188070409999999999,2
UNI,0x927c7fD078FC406059957a691c21F6E0fC4A959C,,,1000001000007000000000000,1
UNI,0x490539F53dd0344287b8C8FD85D0Ecb8eEF44DD0,guillaume.lambert.eth,guillaume.lambert.eth,1000000064327421392478721,5
UNI,0x0459f41c5f09BF678D9C07331894dE31d8C22255,,,1000000000100000000000001,1
UNI,0x55Fc36e37ee5C04df5803a9A48b9134B26dd167c,,,1000000000100000000000000,1
UNI,0xDb305AEFd04fDD47CF9D6B88902714855684D531,,,999999000100000000000000,1
UNI,0x5B5616A016d19c21D67cf734E87e7e142FEefc97,,,719000162148300000000000,2
UNI,0xF1a0a51eF971db512aF8373f756DE1DdBEe995AA,,,719000161964690000000000,1
UNI,0xa83cE8fc1746eA151A767276B2f3d4EA4AD586CA,,,719000161559600000000000,2
UNI,0xEB308A044bdF6975b4b852A3fAA8607BcA5D6CF3,,,719000161559600000000000,1
UNI,0x9a8ae4ebbc18f54D72Fea5D4c8291a9e23aAA691,,,719000161559600000000000,2
UNI,0x7215eDf849f8002b61ddC78Ca60C315e34363202,,,719000161559600000000000,2
UNI,0x3da92CD0747736D88996709387F9e8B59dC03432,,,719000161104670000000000,1
UNI,0x92e1Fa598f281227Be86C1a67d6E512F2b4640b5,,,719000160698990000000000,1
UNI,0x2D7250c1aBCe54f9b5E32965B7E6404E5b95ed78,,,600011579348456096328236,3
UNI,0xbbf3f1421D886E9b2c5D716B5192aC998af2012c,,cUNI Multisig,530958505653029360840049,6
