token,chain,address,balance,share,post_exclusion_rank,tier1_label,tier2_label,tier3_label,final_classification,classification_source,confidence,vesting_status,notes
ENS,ethereum,0x073f564419b625a45d8aea3bb0de4d5647113ad7,697720.4999999998,0.0074550403299336,7,,,,,,,,
ENS,ethereum,0x6a496c6076a1f3ca554b6f4eef81e4885a433cfe,410342.46176763775,0.0043844485027485,8,,,,,,,,
ENS,ethereum,0x187c9fbf5bd0f266883c03f320260c407c7b4100,340485.6824975442,0.0036380391500381,9,,,,,,,,
ENS,ethereum,0x801960b082d48f822395b03df7b1908899ab03aa,304539.56,0.0032539601485985,10,,,,,,,,
ETHFI,ethereum,0x7a6a41f353b3002751d94118aa7f4935da39bb53,173200599.82999992,0.1902422153317041,1,,GnosisSafeProxy,,insider,tier2_blockscout,high,,impl: GnosisSafe
ETHFI,ethereum,0x95bf94e06d5be1000c23cd99968eff414aa4995e,101547168.4,0.111538633792488,2,,,,,,,,
ETHFI,ethereum,0x86b5780b606940eb59a062aa85a07959518c0161,88154059.06276844,0.096827744840628,3,,Staked ETHFI,,contract,tier2_blockscout,high,,
ETHFI,ethereum,0xf10873355b209b401262cadc753d654e2b7e41ac,40899781.95999999,0.0449240079670113,4,,,,,,,,
ETHFI,ethereum,0xf619ab1f33cdc8a0123e093de92ea4d7399de39f,35877781.84,0.0394078814110836,5,,,,,,,,
ETHFI,ethereum,0x6630ff17cf5357c5f9c3d2a21ac98d2ff1070739,29013477.41,0.0318681818791179,6,,,,,,,,
ETHFI,ethereum,0x7a93190d436436bbb79fa2c0d24ca93afb59b3fb,27633149.92,0.0303520407119476,7,,,,,,,,
ETHFI,ethereum,0x43684d03d81d3a4c70da68febdd61029d426f042,17595172.817203004,0.0193264033679696,8,,,,,,,,
ETHFI,ethereum,0x7d4bbe471369a066186c18baf33622796a08d5cd,15883024.42,0.0174457926519546,9,,GnosisSafeProxy,,insider,tier2_blockscout,high,,impl: GnosisSafe
ETHFI,ethereum,0x5a52e96bacdabb82fd05763e25335261b270efcb,15312597.0,0.016819239532778,10,Binance Hot,,,exchange,tier1_known_exchange,high,,
FIL,filecoin_native,f1m2swr32yrlouzs7ijui3jttwgc6lxa5n5sookhi,152951749.93779546,0.180069891466242,1,,,,,,,,
FIL,filecoin_native,f1mfxobliwdamau2x25t4mcegzhfln5rwng4aemqi,64627170.92998877,0.0760854822508811,2,,,,,,,,
FIL,filecoin_native,f1neiyfto7ozo4xaamg35jig7xbbrdpl6s7u6uy4i,54511294.04004079,0.0641760738629443,3,,,,,,,,
FIL,filecoin_native,f0121,17548730.01,0.0206600964654293,4,,,,,,,,
FIL,filecoin_native,f1d7mq36vf6osdhcd32i6k3wyb223mdjlxnafnala,17369492.974836342,0.0204490809426793,5,,,,,,,,
FIL,filecoin_native,f1nzasvvzledaucnnjn6i4wsvydqu37nnhypdlnfq,17291515.344328333,0.0203572779821504,6,,,,,,,,
FIL,filecoin_native,f1qnjkzbkv422eqnqle4idexfvvcpkzme6dqba5ea,16867794.310676333,0.0198584317736388,7,,,,,,,,
FIL,filecoin_native,f1l4vacwfq5euj22tr5ys7xd4ixqw3bfjknd4arcq,16571052.81165888,0.0195090784021126,8,,,,,,,,
FIL,filecoin_native,f1fjpfpmn6ycjc7bnacoftsh3fxvfgldz5jbdpstq,15002999.999916714,0.0176630119155338,9,,,,,,,,
FIL,filecoin_native,f02086492,14313821.93643329,0.016851643499397,10,,,,,,,,
GEOD,polygon,0xca3e874bc4e830796d822f529c29df30302324b2,245000000.0,0.24953724059045,1,,,,,,,,Polygon Blockscout 500 error
GEOD,polygon,0x2006b44684b2a579466fc04fabc5a535946bc7ab,205336874.8302058,0.2091395801493722,2,,ERC1967Proxy,,contract,tier2_blockscout,high,,Wormhole NTT bridge manager proxy
GEOD,polygon,0xfa5fed5cc2b6dd8f370651d17242c52ed711b14f,126999999.99999994,0.1293519573672944,3,,,,,,,,Polygon Blockscout 500 error
GEOD,polygon,0x3a6906e4239f9860c81035c54198df58d892653b,60512654.0,0.0616333089794476,4,,,,,,,,Polygon Blockscout 500 error
GEOD,polygon,0x47c8ebecfa390a59b0e127c9178e936a4ada907d,40000010.0,0.0407407841591445,5,,,,,,,,"EOA, no Blockscout labels"
GEOD,polygon,0xcdd8dcfc406d0487d09b8332cf1bafa2a21a9f47,36833292.793656856,0.0375154214105683,6,,,,,,,,"EOA, first tx 2025-09-03"
GEOD,polygon,0x000000000000000000000000000000000000dead,31908432.381899025,0.0324993557883512,7,,Null/Burn address,,contract,tier2_blockscout,medium,,Burn address (0x...dead)
GEOD,polygon,0x3783f34cad40f4bcb5eaff3594458da1f5ea041f,20000001.0,0.0203703880054948,8,,,,,,,,"EOA, no Blockscout labels"
GEOD,polygon,0xcecccb3ee2c208fb58a5a02499e97d4bf041ff6f,20000000.0,0.0203703869869755,9,,,,,,,,Polygon Blockscout 500 error
GEOD,polygon,0xcdfd8ec577217df0a577cc64a64eca71bb28d954,17000000.0,0.0173148289389291,10,,,,,,,,"EOA, no Blockscout labels"
GMX,arbitrum,0x02984c3bb35f0e61cfc690f221a5ebcc5389f86b,699127.0244620978,0.0669992696995808,1,,,,,,,,
GMX,arbitrum,0x0755d33e45ed2b874c9ebf5b279023c8bd1e5e93,285094.5799525101,0.0273213993792089,2,,,,,,,,
GMX,arbitrum,0x80a9ae39310abf666a87c743d6ebbd0e8c42158e,278568.94206074625,0.0266960295139709,3,,,,,,,,
GMX,arbitrum,0x5a52e96bacdabb82fd05763e25335261b270efcb,243330.5,0.0233190324865173,4,Binance Hot,,,exchange,tier1_known_exchange,high,,
GMX,arbitrum,0xf977814e90da44bfa03b6295a0616a897441acec,237712.0359155042,0.0227805995875972,5,Excluded elsewhere: Binance 8 (exchange),,,exchange,tier1_exclusion_crossref,high,,
GMX,arbitrum,0xc6378ddf536410c14666dc59bc92b5ebc0f2f79e,148415.30172150387,0.0142230474286619,6,,,,contract,tier2_blockscout,medium,,"Unverified contract, created by 0x4e1DCf7AD4e460CfD30791CCC4F9c8a4f820ec67"
GMX,arbitrum,0xafee421482faea92292ed3ffe29371742542ad72,143616.15541515173,0.0137631320106384,7,,,,,,,,
GMX,arbitrum,0x68863dde14303bced249ca8ec6af85d4694dea6a,142672.43929731927,0.0136726930939806,8,,,,,,,,
GMX,arbitrum,0x4d4dc37c4c0003ac32e8c4c751a5f7244c9339c2,128965.38521560408,0.0123591083217224,9,,SafeProxy,,insider,tier2_blockscout,high,,impl: Safe
GMX,arbitrum,0x199070ddfd1cfb69173aa2f7e20906f26b363004,98799.7821081886,0.0094682554330085,10,,,,,,,,
GRASS,solana,5q544fkrfoe6tsebd7s8emxgtjyakttvhaw5q5pge4j1,971553045.4697486,0.1601452795392452,1,,,,,,,,
GRASS,solana,u6pj8dtqupfnfmwhbgfulq4u4egjdiyykjvesynxq2w,400686926.0533088,0.0660469544918183,2,,,,,,,,
GRASS,solana,5pahqiydlbd6svdjzbqdxuaefyddf5exnpqfcscnprj5,191897642.18419564,0.0316313161631347,3,,,,,,,,
GRASS,solana,4gxs8oc2yewdtpkdyo6v8zixhetczvu8jicreudat8th,161029302.25672582,0.026543154534032,4,,,,,,,,
GRASS,solana,astyfsima4lladdgofgkgqokowg1lzfdr9faqrg7iajz,135607080.58996207,0.0223527000711322,5,,,,,,,,
GRASS,solana,cafeq2wwakoks8wklhk8kfhvsddsqut5jynwpcea9zad,117008951.1081546,0.0192870901606295,6,,,,,,,,
GRASS,solana,1hqp5qdvi9l2ptueramwxba8ri65wciotvfgpg6xezv,103921146.04411335,0.0171297707941686,7,,,,,,,,
GRASS,solana,7rmkmnqerkaviornmqzshm5gm8f3gngqg8umlnok97q4,82083996.89700517,0.0135302592998549,8,,,,,,,,
GRASS,solana,d5jx4wmxupz18hqmgpcmlgvq3uskscafcp5xjve1nw8p,76306113.52320638,0.012577865858903,9,,,,,,,,
GRASS,solana,5oxvntyzjpobcn7getbpfe8ydpabczc8u64kh2hzmhzt,75389148.63322777,0.012426718580514,10,,,,,,,,
GRT,ethereum,0x823fd1a44a37a4be35c3b0c8b11463cc4f27396c,807434484.3001966,0.0794456799617232,1,,,,,,,,
GRT,ethereum,0xfcb40a54be132a26c87f6bb7d2f74354ce13d96d,559234837.4813025,0.0550246401235789,2,,,,,,,,
GRT,ethereum,0x5b0a3c6d28b9b11770b0b838f3ff48062805b4e1,242442346.4274316,0.0238545633583342,3,,,,,,,,
GRT,ethereum,0x3a5cc8689d1b0cef2c317bc5c0ad6ce88b27d597,159263633.59118396,0.0156703830587475,4,,,,contract,tier2_blockscout,medium,,
GRT,ethereum,0x5eb529e12eb1de6b3c467d54b2861d3b56f63911,158654714.38395193,0.0156104698380455,5,,,,,,,,
GRT,ethereum,0x76ec5a0d3632b2133d9f1980903305b62678fbd3,130636099.89403024,0.0128536419801587,6,,,,,,,,
GRT,ethereum,0xeb8ee0503e0301720eb7616e0897f8ecdf751fc3,119546950.69825494,0.0117625503619714,7,,,,,,,,
GRT,ethereum,0x7dafba1d69f6c01ae7567ffd7b046ca03b706f83,102641416.87887733,0.0100991688053112,8,,,,,,,,
GRT,ethereum,0x5a52e96bacdabb82fd05763e25335261b270efcb,100000000.0,0.009839272598145,9,Binance Hot,,,exchange,tier1_known_exchange,high,,
GRT,ethereum,0x8e1aff4fe98129edbe423aca6a3af51b4de2af09,97000000.0,0.0095440944202007,10,,GnosisSafeProxy,,insider,tier2_blockscout,high,,impl: GnosisSafe
GTC,ethereum,0x57a8865cfb1ecef7253c27da6b4bc3daee5be518,12508498.095757104,0.1757786885209057,1,,Timelock,,contract,tier2_blockscout,high,,
