token,chain,address,balance,share
HONEY,solana,2wEmGrCJujMxbAvJHMQvcPtVx5G6PNVUoX1tbG1Wi5tg,12500000.1,0.001916406400601549
HONEY,solana,H3CwGx2mYRvM43dkCvPDnPFyidYbs42bTRHAz58MSMeG,12500000.0,0.001916406385270298
HONEY,solana,CND6Zh3suXPzww11gPGr1ZBwAVVCrd19AkFLwB9rkDcP,12500000.0,0.001916406385270298
HONEY,solana,83eTbUN8jVmN8p6odFHK6VPFxo93vQQsgDYGwD4d4foM,12500000.0,0.001916406385270298
HONEY,solana,3niwBsSd6TtPEaJtMaKWMhxxz5JLGPQsMtENNxqTE8AZ,12500000.0,0.001916406385270298
HONEY,solana,4wg7jDg8rSS4HogK1k2E31ebJmopgJjiv9qwAoPe4BNx,12500000.0,0.001916406385270298
HONEY,solana,9obNtb5GyUegcs3a1CbBkLuc5hEWynWfJC6gjz5uWQkE,12358962.294916924,0.0018947835405834917
HONEY,solana,FNXHjymufsueyXLcbW5kfsby24exGWnse8T5AufiCTr7,12251350.611309964,0.0018782853231759666
HONEY,solana,4jZgx4rbDckRddmBfYiw417eZTnKgx7ADd2xgi3zo156,11990821.632237004,0.0018383429712524968
HONEY,solana,8JCyxM2oFbtYHmT9Uf9rNinV42txL2VU4xAkg2DV1xcS,11790306.265705014,0.0018076014569511592
HONEY,solana,J7UNtdPNboGsDpYakDjgBxtsYNtYLTGPKaSxgySgcpMS,11220155.1,0.0017201901501890477
HONEY,solana,2wT3wxx6U8jJB4iCSztTgNQgAZtmqgSXzsq41X9zPeNk,8415116.32,0.0012901426118752234
