rank,voter,voting_power,dominance_full_pool,in_top_n
193,0x98FB63e62f8952d03Ff9A957038191Efd1fD5B1C,10.8396226756,0.0000030490,0
194,0xC4010610b6aFfdaCFb71AA910C6713B2a74a2DDD,10.6428869470,0.0000029937,0
195,0xb27Df5d62e9e51bb2E8505a1B968eD5c127A3C48,10.5384601700,0.0000029643,0
196,0x280A53cBf252F1B5F6Bde7471299c94Ec566a7C8,10.2360722728,0.0000028793,0
197,0xA6A97c1e6f99C64579d2E576c0C3af4304EE314d,10.2090904111,0.0000028717,0
198,0x0337DCbc6F5F2c2cA665fdD487f7d8f23c305b08,10.1220000000,0.0000028472,0
199,0xc0D53B04E2dfB0F3b765Cf3974619104e6bD8026,10.0559850467,0.0000028286,0
200,0x7362e7d3F2F7bC16e1Fa366103E6Cd0e733D295E,10.0000000000,0.0000028129,0
201,0x04B88B59f041235d779C970Dd1F9Ae401e5F9026,10.0000000000,0.0000028129,0
202,0xf2d0ED2a192c3a3e2752f3cf73Fbabf710405917,10.0000000000,0.0000028129,0
203,0xeaD2f440DF2698d4bc18818085fD7218833487C7,10.0000000000,0.0000028129,0
204,0x054f9541B0b24A49F9dac8e2CeFd59dBeC58dACA,9.4967145695,0.0000026713,0
205,0x7cd9233Da66766F1659FD49AeFFEEcf1Fc485Ac0,8.8846740613,0.0000024991,0
206,0xCB4aa6Bda4B46806E4D36132Db0546d5DBb3fae8,8.7815208806,0.0000024701,0
207,0x226d833075C26dbF9aA377De0363e435808953a4,8.7151748542,0.0000024515,0
208,0x770569f85346B971114e11E4Bb5F7aC776673469,8.6151971370,0.0000024233,0
209,0x2E3bfA4Ec650437a264Def51AD47DFf08a91C146,8.1097694473,0.0000022812,0
210,0x7710E7e881333Fd3396Ca5966BeD6E72746b612D,7.9896429987,0.0000022474,0
211,0xcD4cd57cE3220fE583546614E79691cDAC3dE2b2,7.9866980790,0.0000022465,0
212,0x935015f87dDb65fe5C26a42a85D1aBFcd9543AD2,7.7333866793,0.0000021753,0
213,0xc98A14920898BB30b007Ff0B01094745F56c590B,7.5377507924,0.0000021203,0
214,0x758D1A61d581dC6992c4772e92181dA8465d95E8,7.2147521750,0.0000020294,0
215,0xD97beFFDf558b269257fEba5dF111Ab718B71E24,6.5593160618,0.0000018450,0
216,0xeFd6777e2fd6A65A245156bDB81d0139FBba3cd8,6.3283160848,0.0000017801,0
217,0x7153DdB132082C3c4Ae108f7cd3aEAa5bE9e1e18,6.1986550809,0.0000017436,0
218,0xcE8c14435FE642f2Af259a768e060c4e845606C3,6.1185390001,0.0000017211,0
219,0x960cC811e5eF36760f5c679AF90e821B10385e04,6.0000000000,0.0000016877,0
220,0x0a8AA3FdF270074Fb2D16B295551Dc032d31Dc7e,6.0000000000,0.0000016877,0
221,0xfBC50823848d06Ac10A4B26DBAc2cd2c5B083611,5.9029806646,0.0000016604,0
