rank,address,balance,reserved,lock,display
813,12nYXo2LVUf5UpA3YHUmsJRQQS5TCtWE5pjTPYr351YTmLqR,155663.3628244812,0.0,0.0,
814,14suinrTRbFtzdAuUUT9VtyEYNwiDL8K8VRbeu71ULpaYTDL,155594.4370638283,154950.0,154950.0,
815,15pamzpL7mPVQf8vZDrvQZz7JkusdPAKGNmrYsaPuKBmMsh2,155088.804163505,144975.2100618413,144975.2100618413,
816,165wWEpoewV9f44zaZHxqeMphiknJoux9MArr3vFGHD8aU2M,154898.7126647927,154876.9710647998,154876.9710647998,
817,132kWwvEZezyhrP9eKouVYQLmPYexQ7cd3XzKMQ3T5dN1cTH,154578.6076061523,0.0,0.0,
818,1YyRQWnHf9rmeP7bymihmQgw1BXzSKsfsoVVWGKtiBjU1LN,153595.2292847964,97.4263849509,97.4263849509,
819,152zrX7gsEncET3dDvPeqQ4YHkQrfsDZRYLSUjYsWWwvdBrd,152889.9158312764,0.0,0.0,
820,16aTCW4sqoanNdmPhBdi2wjLGphMU9NKurzhBzcWYZLyEZ42,152735.9313035764,0.0,0.0,
821,12XmEAFn1vMUiHefmS33c7W1vHQdQq6QfkHx2noykWNpF2tE,152457.1104246164,150000.0380602254,150000.0380602254,
822,14GL1ffs51LLStCo9QTei1D9F1sPPEZATvCpu7N6dBVFrzE2,152184.4081867228,152175.7575136355,152175.7575136355,
823,139PZAjWoAHxjh6gAzrqnoQN9bniSELHXh3xzabXqho6eciP,151138.0281649229,0.0,0.0,
824,14wVHfBkbPjQhDXUVPJpgFEyRYcfUWe6LSwpkToKj7DBXdUo,151044.5049862407,0.0,0.0,
825,14YWUXL1jq9y9U9bWCUiFy9MbssC5Nu9ygTGLfqCrt2D46Tc,151009.9,0.0,0.0,
826,14qx5q6Pcq1cZttWcmN9yFaGq2MgB1eWe2ksZ1Y2dGsFXGek,150917.8197812861,150405.0001605247,150405.0001605247,
827,16Xi1Ak2Y2nAiwx6vzscoHoXPVZCZqvSC9xrTps7xZCWkgsW,150159.593993825,71.7814530536,71.7814530536,
828,167TtZF9LjGxfGHyX2Bnrdva8eRAranvXgVRXHM98A7ebMwd,149448.0418320529,140574.8907173783,0.0,
829,154PM4Vsm8LpebBUzaTh2QzZYikjR3fWMJ8A4NX5JFLPz5my,149363.3983576427,149219.0866190239,149219.0866190239,
830,13fjGhKJBfzFe7Gk8uDFuuR2d3kwYFprTd9rXV7pzhdKbSRa,148288.1023122727,146288.3388572587,146288.3388572587,
831,16UZuNgsJfB6EkcAKWZj51M4BwADx1hCw2R9b36EJWpJvdYX,148130.8696514586,146131.0695964446,146131.0695964446,
832,1FRcZvN9TbovcGvtPXvavMdMoY1ktooG5N7Ezx9QNqDwNXT,148087.7164706477,104922.9374314527,104922.9374314527,
833,165usEFw3HHTy7p1rFuLeJZgrhEcR1pKLh8uBWpnZX7fcw9G,148063.2732929189,25605.4602224224,25605.4602224224,
834,12ML2Lh6JAiFoX87De5yqXfjfzEv4DKtuK75teMJCLHLcQpH,147711.2726071964,0.0,0.0,
835,15vn6Gw8v2DtZqDQy2LaMibFxT6D4bK8NZEJYJNPC4uZNg3K,147613.5452321945,0.0,0.0,
836,15btAXZav2sm8SDd4LNeh4S1REqci87ssZhsARpoeN34NfYi,147598.3230417221,147588.6060417234,147588.6060417234,
837,15Q7beVwqz6jafe6iyUVybwibmPxLBm2QiVYtYc7BwcXZbZ,147254.9767036656,145694.3411640983,145694.3411640983,
838,15NB4oYmbhwrAjwg3gmTRAg7cEqbYpENSJU4WpTwF4KRfXv6,146611.9464528737,146609.9464528737,146609.9134528737,
839,14GFgCEXJLCdxkUH1QnNwZU6Jv8AMPUJKKNtAbnJqMd5cPKe,146472.3492178503,0.0,0.0,
840,144nKaVHLBD4vGVEGy1SggghBQSgtSL9kc7moCCHi7X63reQ,146054.6302269961,112054.617251828,112054.617251828,
841,13fpqRLqYM9MMQ4wjQbnTtMcFRZptAiRuVfdhqZ7U8wYwf5n,145979.3259333163,145550.4076149562,145550.4076149562,
842,16mfxjw5RGjk4VpR94FBsfbdqpfSr3vjUaGgrh5PD1p5Lr9W,145614.2406839984,143556.0,143556.0,
