address,balance
CqrwsE7Ni9AM3EGtJ68Grg9VLwP1xJWNkc5WXjLPECN6,92297.02340283
0x3d726a0363908df56e4849ff14c00828e794837d,91738.35026654156
0xc11f82a7e1c14f0cac7499bdd4cf80d51bb91ee2,90993.99999999996
0x2058a25b2845b02e3778283a779fd301dc317d7e,90501.13386684423
0xad594d9b2d3ef4b7230668c4e458f658b13753c9,89917.81
0x726964d637559eed540a3b81429aaf99127c89de,89827.10218897
rbrnm7nPhfhBxPSh8qhRFrhB5MLnJGMNoyNQPvSi7vq,89590.95908445
8QCVZ7KL65pBhUxbvfwbyyg4ronxNAEXbDrGLYLrRNn5,88453.37873366
0x72e364f2abdc788b7e918bc238b21f109cd634d7,87920.22676839761
0xa5e279a1e174aaa785454c46f8ed0b32f2fad0c9,87830.58020833775
0xf90a95bf9fee3d7817ccdebe6f393261e0898454,85346.0644
9E4fv9BsJ2BwkNBXDeUgpJYtrYPheMQWYFcxGYxDFshX,83946.34999589
0x6ca18c73b046e3596e8ffa7ddaede2dd71008af9,81332.45546203
0xb6b0ec197824969dd8d49b68ad4aefdf8a9c6e7e,80777.9591945816
0xe74b28c2eae8679e3ccc3a94d5d0de83ccb84705,79088.58767871527
0xab561d89e4c76549cc6ee339b4839d1d46555180,76450.1238433119
0xeb7e9d3fb24fbe2a3238dc80ec11cda0e8f9f4e3,76119.15867
0x84c35c4312658b345a8272e3d54e552e5dcf262a,75966.53634
9aiqyEUmwb63yUjwPHwY4jR68Pj5QsCQBGhYWRJEwXZA,75081.7
3V11R3pEGSt5XeRaoLDcCdkAB8zVSaKRCm8y3uKBgnsr,74457.05326359
0x0b5cfa8066fa5cf18d5117430db15fcec116efed,73360.17617424001
0xd629e406a7407c9a206c71f2c37f95e3e0a5e24a,73335.0
0x14ecf105833177d6bf68f172984918d4299f5601,73240.08513397096
3n7E2gZmCaDGpmvmHVHhHg13x7y1zG37tnEXvizxnKY1,68985.77000001
0x8aeaff3cd4ea5480503cc0eef06a478daea67d26,65727.45251428164
0x66cc042212f35bd8746310bd7d1da166590ae623,64018.12466864954
0x4f90356dbc2286b4be8cf14738b05e3a9e9c0c7e,62977.126
GHYKvoxNEn2GrMgd5S8CpoqbmeR6q3cvTdCim6tkX46G,61533.22191381
0x593aebee9117eea447279e5973f64c68d8e977a0,61492.0
0x6a99e8961055b505d8d62c447220bb341ad769ee,60899.62482151951
9CKnC2kmqG9ZBtQXDfxR5H7Av7X878geV367DdYtybT4,60431.75803891
0x4abc8be08c19fe9a6e28849ad6b0fe05c56ec779,60078.519863370006
