token,month,incentive_emission_tokens,insider_unlock_tokens,burned_tokens
GEOD,2024-06,8057364.21,2500011.0,430007.0
GEOD,2024-07,4774363.5,29999989.0,560385.52
GEOD,2024-08,5165368.29,0.0,710039.86
GEOD,2024-09,5431990.15,0.0,580000.0
GEOD,2024-10,6108599.63,0.0,500000.0
GEOD,2024-11,6383043.18,12500000.0,570000.0
GEOD,2024-12,7023932.71,8333333.33,850000.0
GEOD,2025-01,7758807.07,45250000.0,710000.0
GEOD,2025-02,7123939.27,0.0,650000.0
GEOD,2025-03,8197685.33,0.0,890000.0
GEOD,2025-04,9375035.73,0.0,1060000.0
GEOD,2025-05,9816738.35,0.0,1250000.0
GEOD,2025-06,9885322.64,0.0,1440000.0
GEOD,2025-07,5588137.87,0.0,1590000.0
GEOD,2025-08,5357258.15,0.0,2170000.0
GEOD,2025-09,4854363.6,2500000.0,2210000.0
GEOD,2025-10,4266613.11,0.0,2763000.0
GEOD,2025-11,4220896.36,0.0,1895000.0
GEOD,2025-12,4264383.37,0.0,1415000.0
GEOD,2026-01,4565076.46,0.0,1395000.0
GEOD,2026-02,3848674.42,0.0,1305000.0
GEOD,2026-03,4879435.48,0.0,1410000.0
GEOD,2026-04,4487870.34,0.0,1350000.0
GEOD,2026-05,4489179.63,0.0,1250000.0
FIL,2020-11,0,1232314.01,0.0
FIL,2020-12,0,1273391.15,0.0
FIL,2021-01,0,1273391.15,0.0
FIL,2021-02,0,1150159.74,0.0
FIL,2021-03,0,1273391.15,0.0
FIL,2021-04,0,1232314.01,0.0
FIL,2021-05,0,1273391.15,0.0
FIL,2021-06,0,1232314.01,0.0
FIL,2021-07,0,1273391.15,0.0
FIL,2021-08,0,1273391.15,0.0
FIL,2021-09,0,1232314.01,0.0
FIL,2021-10,0,1273391.15,0.0
FIL,2021-11,0,1232314.01,0.0
FIL,2021-12,0,1273391.15,0.0
FIL,2022-01,0,1273391.15,0.0
FIL,2022-02,0,1150159.74,0.0
FIL,2022-03,0,1273391.15,0.0
FIL,2022-04,0,1232314.01,0.0
FIL,2022-05,0,1273391.15,0.0
FIL,2022-06,0,1232314.01,0.0
FIL,2022-07,0,1273391.15,0.0
FIL,2022-08,0,1273391.15,0.0
FIL,2022-09,0,1232314.01,0.0
FIL,2022-10,0,1273391.15,0.0
FIL,2022-11,0,1232314.01,0.0
FIL,2022-12,0,1273391.15,0.0
FIL,2023-01,0,1273391.15,0.0
FIL,2023-02,0,1150159.74,0.0
FIL,2023-03,0,1273391.15,0.0
FIL,2023-04,0,1232314.01,0.0
FIL,2023-05,0,1273391.15,0.0
FIL,2023-06,0,1232314.01,0.0
FIL,2023-07,0,1273391.15,0.0
FIL,2023-08,0,1273391.15,0.0
FIL,2023-09,0,1232314.01,0.0
FIL,2023-10,0,1273391.15,0.0
FIL,2023-11,0,1232314.01,0.0
FIL,2023-12,0,1273391.15,0.0
FIL,2024-01,0,1273391.15,0.0
FIL,2024-02,0,1191236.88,0.0
FIL,2024-03,0,1273391.15,0.0
FIL,2024-04,0,1232314.01,0.0
FIL,2024-05,0,1273391.15,0.0
FIL,2024-06,0,1232314.01,0.0
FIL,2024-07,0,1273391.15,0.0
FIL,2024-08,0,1273391.15,0.0
FIL,2024-09,0,1232314.01,0.0
FIL,2024-10,0,1273391.15,0.0
FIL,2024-11,0,1232314.01,0.0
FIL,2024-12,0,1273391.15,0.0
FIL,2025-01,0,1273391.15,0.0
FIL,2025-02,0,1150159.74,0.0
FIL,2025-03,0,1273391.15,0.0
FIL,2025-04,0,1232314.01,0.0
FIL,2025-05,0,1273391.15,0.0
FIL,2025-06,0,1232314.01,0.0
FIL,2025-07,0,1273391.15,0.0
FIL,2025-08,0,1273391.15,0.0
FIL,2025-09,0,1232314.01,0.0
FIL,2025-10,0,1273391.15,0.0
FIL,2025-11,0,1232314.01,0.0
FIL,2025-12,0,1273391.15,0.0
FIL,2026-01,0,1273391.15,0.0
FIL,2026-02,0,1150159.74,0.0
FIL,2026-03,0,1273391.15,0.0
FIL,2026-04,0,1232314.01,0.0
FIL,2026-05,0,1273391.15,0.0
FIL,2026-06,0,1232314.01,0.0
FIL,2026-07,0,1273391.15,0.0
FIL,2026-08,0,1273391.15,0.0
FIL,2026-09,0,1232314.01,0.0
FIL,2026-10,0,616157.01,0.0
FIL,2026-11,0,0.0,0.0
FIL,2026-12,0,0.0,0.0
FIL,2027-01,0,0.0,0.0
FIL,2027-02,0,0.0,0.0
FIL,2027-03,0,0.0,0.0
FIL,2027-04,0,0.0,0.0
FIL,2027-05,0,0.0,0.0
FIL,2027-06,0,0.0,0.0
FIL,2027-07,0,0.0,0.0
FIL,2027-08,0,0.0,0.0
